Area Name,Hour,CollisionCount
77TH STREET,17,2772
77TH STREET,16,2662
77TH STREET,18,2556
77TH STREET,15,2541
SOUTHWEST,17,2539
77TH STREET,19,2450
SOUTHWEST,18,2432
WILSHIRE,15,2429
WEST LA,17,2363
77TH STREET,14,2352
SOUTHWEST,16,2330
NEWTON,17,2328
WEST LA,16,2290
SOUTHWEST,15,2263
WEST LA,15,2259
DEVONSHIRE,17,2247
WILSHIRE,17,2219
WILSHIRE,14,2214
77TH STREET,20,2212
NEWTON,18,2193
DEVONSHIRE,15,2177
WILSHIRE,16,2173
OLYMPIC,18,2151
WEST LA,18,2127
NEWTON,15,2121
WILSHIRE,13,2121
WILSHIRE,18,2120
OLYMPIC,17,2117
PACIFIC,17,2114
VAN NUYS,15,2112
