Year,Month,CollisionCount,YearMonth
2010,1,3723,2010-01
2010,2,3492,2010-02
2010,3,3900,2010-03
2010,4,3670,2010-04
2010,5,3809,2010-05
2010,6,3634,2010-06
2010,7,3758,2010-07
2010,8,3680,2010-08
2010,9,3583,2010-09
2010,10,4050,2010-10
2010,11,3725,2010-11
2010,12,4074,2010-12
2011,1,3506,2011-01
2011,2,3602,2011-02
2011,3,3984,2011-03
2011,4,3657,2011-04
2011,5,3714,2011-05
2011,6,3647,2011-06
2011,7,3847,2011-07
2011,8,3930,2011-08
2011,9,3822,2011-09
2011,10,3998,2011-10
2011,11,3740,2011-11
2011,12,3833,2011-12
2012,1,3720,2012-01
2012,2,3600,2012-02
2012,3,4179,2012-03
2012,4,3739,2012-04
2012,5,3764,2012-05
2012,6,3679,2012-06
2012,7,3686,2012-07
2012,8,3951,2012-08
2012,9,3796,2012-09
2012,10,4024,2012-10
2012,11,3612,2012-11
2012,12,3659,2012-12
2013,1,3571,2013-01
2013,2,3362,2013-02
2013,3,3860,2013-03
2013,4,3739,2013-04
2013,5,3881,2013-05
2013,6,3579,2013-06
2013,7,3646,2013-07
2013,8,4032,2013-08
2013,9,3746,2013-09
2013,10,4127,2013-10
2013,11,3796,2013-11
2013,12,3701,2013-12
2014,1,3587,2014-01
2014,2,3502,2014-02
2014,3,3880,2014-03
2014,4,3701,2014-04
2014,5,3887,2014-05
2014,6,3906,2014-06
2014,7,3839,2014-07
2014,8,4183,2014-08
2014,9,4112,2014-09
2014,10,4293,2014-10
2014,11,3882,2014-11
2014,12,4185,2014-12
2015,1,4101,2015-01
2015,2,3915,2015-02
2015,3,4457,2015-03
2015,4,4217,2015-04
2015,5,4258,2015-05
2015,6,4183,2015-06
2015,7,4313,2015-07
2015,8,4705,2015-08
2015,9,4468,2015-09
2015,10,4814,2015-10
2015,11,4471,2015-11
2015,12,4586,2015-12
2016,1,4178,2016-01
2016,2,4529,2016-02
2016,3,4688,2016-03
2016,4,4730,2016-04
2016,5,4625,2016-05
2016,6,4819,2016-06
2016,7,4673,2016-07
2016,8,4961,2016-08
2016,9,4837,2016-09
2016,10,4923,2016-10
2016,11,4634,2016-11
2016,12,4935,2016-12
2017,1,4518,2017-01
2017,2,4312,2017-02
2017,3,5079,2017-03
2017,4,4681,2017-04
2017,5,4849,2017-05
2017,6,4762,2017-06
2017,7,4808,2017-07
2017,8,4987,2017-08
2017,9,4660,2017-09
2017,10,5285,2017-10
2017,11,4856,2017-11
2017,12,4930,2017-12
2018,1,4593,2018-01
2018,2,4475,2018-02
2018,3,4927,2018-03
2018,4,4689,2018-04
2018,5,4580,2018-05
2018,6,4649,2018-06
2018,7,4918,2018-07
2018,8,5006,2018-08
2018,9,4706,2018-09
2018,10,5201,2018-10
2018,11,4780,2018-11
2018,12,4635,2018-12
2019,1,4548,2019-01
2019,2,4420,2019-02
2019,3,4930,2019-03
2019,4,4527,2019-04
2019,5,4668,2019-05
2019,6,4491,2019-06
2019,7,4864,2019-07
2019,8,4950,2019-08
2019,9,4912,2019-09
2019,10,5063,2019-10
2019,11,4596,2019-11
2019,12,4659,2019-12
2020,1,4306,2020-01
2020,2,4584,2020-02
2020,3,3647,2020-03
2020,4,2436,2020-04
2020,5,2970,2020-05
2020,6,3015,2020-06
2020,7,3542,2020-07
2020,8,3703,2020-08
2020,9,3678,2020-09
2020,10,3757,2020-10
2020,11,3402,2020-11
2020,12,3345,2020-12
2021,1,2444,2021-01
2021,2,1285,2021-02
2021,3,1500,2021-03
2021,4,1443,2021-04
2021,5,1538,2021-05
2021,6,1565,2021-06
2021,7,1633,2021-07
2021,8,1580,2021-08
2021,9,1451,2021-09
2021,10,1455,2021-10
2021,11,1358,2021-11
2021,12,1544,2021-12
2022,1,1314,2022-01
2022,2,1285,2022-02
2022,3,1429,2022-03
2022,4,1419,2022-04
2022,5,1475,2022-05
2022,6,1360,2022-06
2022,7,1344,2022-07
2022,8,1338,2022-08
2022,9,1328,2022-09
2022,10,1386,2022-10
2022,11,1324,2022-11
2022,12,1415,2022-12
2023,1,1432,2023-01
2023,2,1334,2023-02
2023,3,1312,2023-03
2023,4,1304,2023-04
2023,5,1369,2023-05
2023,6,1421,2023-06
2023,7,1464,2023-07
2023,8,1248,2023-08
2023,9,1307,2023-09
2023,10,1517,2023-10
2023,11,1383,2023-11
2023,12,1370,2023-12
2024,1,1371,2024-01
2024,2,1047,2024-02
2024,3,1499,2024-03
2024,4,1455,2024-04
2024,5,1406,2024-05
2024,6,1383,2024-06
2024,7,1396,2024-07
2024,8,1495,2024-08
2024,9,1460,2024-09
2024,10,1553,2024-10
2024,11,1364,2024-11
2024,12,1291,2024-12
2025,1,1083,2025-01
2025,2,1282,2025-02
2025,3,215,2025-03
